# epoch: 0 
#1	sgen153scaling	line194	line42	line44	line99	sgen153	
0.65	92.54524528688233	99.75319146725553	96.14889425173831	101.9474217755591	9750.0	
0.23	29.201298351256316	35.7286823733108	32.458546517933904	37.73280126589839	3450.0	
0.16	13.93481068339887	20.30863746242566	17.10345821251873	22.2701343729467	1680.0	
0.45	28.537538197411855	35.05863657954178	31.791373755230683	37.06094311164147	3375.0	
0.88	86.65306696553273	93.78872929808504	90.22085252071102	95.96254808432147	9240.0	
0.91	147.48683275543507	155.52030398028245	151.50190152252483	157.94685482315262	13650.0	
0.44	58.68647568856152	65.50628212215506	62.09547742920747	67.59238711870205	6600.0	
0.84	81.93767632902926	89.0173368068486	85.47770907119336	91.17533571527552	8820.0	
0.37	23.28249661407789	29.753424962405084	26.508655246706592	31.741365812880705	2775.0	
0.18	15.703446153377676	22.09736786749604	18.884634243945133	24.064065152526368	1890.0	
0.16	20.04638045821451	26.485551787411943	23.254468581061396	28.464555696994942	2400.0	
0.5	67.80964819359302	74.72834265789444	71.26894250014497	76.84150272790568	7500.0	
0.48	43.663522637500535	50.32918748583717	46.994072072091186	52.373704713327406	5040.0	
0.5	31.872122733428615	38.42477819243686	35.14299792432665	40.436200672822935	3750.0	
0.53	48.61809018389419	55.333559909594385	51.97404364771866	57.39140340976525	5565.0	
0.13	16.21089730773038	22.610355203066405	19.395468320461337	24.578519413291257	1950.0	
0.8300000000000001	127.96484301552246	135.66933765888828	131.81566807276604	138.00350193982612	12450.000000000002	
0.01	1.592574518862861	7.222523381543171	4.103399558567848	9.129589751906018	105.0	
0.04	2.781608486306916	8.80937683744476	5.667857857468051	10.727252824654325	300.0	
0.64	59.88189201585082	66.71440476989329	63.29736561916258	68.80397438215222	6720.0	
0.65	92.54524528688233	99.75319146725553	96.14889425173831	101.9474217755591	9750.0	
0.42	55.724417126460025	62.513044622459105	59.117551678019794	64.59066632308736	6300.0	
0.53	48.61809018389419	55.333559909594385	51.97404364771866	57.39140340976525	5565.0	
0.78	51.34914396445275	58.09246989985154	54.71927048113165	60.157820158433886	5850.0	
0.48	43.663522637500535	50.32918748583717	46.994072072091186	52.373704713327406	5040.0	
0.48	64.72710194943274	71.61187874103685	68.16916416331432	73.7157375000981	7200.0	
0.9500000000000001	158.92783226057358	167.17697576346353	163.0507143569408	169.66393289419923	14250.000000000002	
0.64	59.88189201585082	66.71440476989329	63.29736561916258	68.80397438215222	6720.0	
0.98	66.26296621923386	73.16457554359594	69.71358232762462	75.2730478529761	7350.0	
0.37	33.08238492961294	39.646499928690474	36.35939642304491	41.66124119031637	3885.0	
0.9500000000000001	158.92783226057358	167.17697576346353	163.0507143569408	169.66393289419923	14250.000000000002	
0.45	60.181714717520926	67.01742575725788	63.59881682623556	69.10786806512205	6750.0	
0.39	34.9756200144612	41.557695991514606	38.26220365349657	43.5776921255215	4095.0	
0.08	5.06870870018142	11.270964078032558	8.109546614974962	13.201315068786897	600.0	
0.2	17.483603468133847	23.896603486582407	20.67633261519728	25.86840756947952	2100.0	
0.43	57.20078454513704	64.00489892674976	60.60178887574749	66.08673096241453	6450.0	
0.74	109.20338497010766	116.63069199937866	112.91608629303593	118.8868059518138	11100.0	
0.56	51.6383883357013	58.384682792452125	55.01002397543695	60.45083491380111	5880.000000000001	
0.37	23.28249661407789	29.753424962405084	26.508655246706592	31.741365812880705	2775.0	
0.49	44.646779501968695	51.32225973410769	47.982343060075955	53.3693921122937	5145.0	
0.15	18.762102141130402	25.188309896229082	21.96264366875574	27.163723941358096	2250.0	
0.58	80.61146276139785	87.67565852686093	84.14383737000986	89.82928793532012	8700.0	
0.66	61.988934020780476	68.8440218159863	65.41589823401085	70.93975638105385	6930.0	
0.24	14.944032360392098	21.329493194612144	18.119992211452335	23.293975614700198	1800.0	
0.3	26.555536824793673	33.05782346091059	29.799093870351847	35.054719500414905	3150.0	
0.22	27.875332132668724	34.39015389413051	31.12574954751242	36.39065276146985	3300.0	
0.88	139.7441813419517	147.64169330538365	143.69133745649586	150.03009729869729	13200.0	
